,구,동,구분,단지명,세대수,사용검사일,도로명주소,nm,x,y
366,기흥구,영덕동,분양,흥덕마을 이던하우스,486,2009.05.14.,"기흥구 흥덕2로118번길 26 (영덕동, 흥덕마을9단지이던하우스아파트)",경기 용인시 기흥구 영덕동 963,127.077404490044,37.2773277008991
367,기흥구,중동 ,분양,백현마을 동일하이빌,743,2006.03.21.,"기흥구 동백중앙로 312 (중동, 백현마을 동일하이빌)",경기 용인시 기흥구 중동 874,127.158221445654,37.2795698792809
368,기흥구,영덕동,분양,흥덕마을동원로얄듀크,720,2010.07.29.,"기흥구 흥덕중앙로105번길 24 (영덕동, 흥덕마을10단지동원로얄듀크아파트)",경기 용인시 기흥구 영덕동 958,127.079611445893,37.2776395288418
369,기흥구,신갈동,분양,녹원마을 새천년그린빌 5단지,915,2004.08.23.,"기흥구 기흥로116번길 60 (신갈동, 녹원마을새천년그린빌5단지아파트)",경기 용인시 기흥구 신갈동 697,127.120479194225,37.2875362402249
370,기흥구,신갈동,분양,산양마을 푸르지오아파트,346,2004.07.30.,"기흥구 기흥로116번길 77 (신갈동, 산양마을푸르지오아파트)",경기 용인시 기흥구 신갈동 691,127.11808557837,37.2895213862579
371,기흥구,신갈동,분양,신갈 정문아파트,85,1997.10.24.,"기흥구 신갈로124번길 27-2 (신갈동, 정문아파트)",경기 용인시 기흥구 신갈동 6-9,127.109228017643,37.2779947937668
372,기흥구,신갈동,분양,녹원마을 새천년 그린빌 2단지아파트,238,2004.06.17.,"기흥구 새천년로 27 (신갈동, 녹원마을새천년그린빌2단지아파트)",경기 용인시 기흥구 신갈동 682,127.111738001307,37.290213058126
373,기흥구,신갈동,분양,녹원마을 새천년 그린빌 1단지,414,2006.03.15.,"기흥구 새천년로 13 (신갈동, 녹원마을새천년그린빌1단지아파트)",경기 용인시 기흥구 신갈동 681,127.110620709808,37.289575361912
374,기흥구,신갈동,분양,둥지아파트,64,1996.04.17.,"기흥구 상미로49번길 20 (신갈동, 둥지아파트)",경기 용인시 기흥구 신갈동 435-42,127.098852127242,37.2735750308755
375,기흥구,신갈동,분양,동오아파트,99,1989.01.11.,"기흥구 용구대로2152번길 18 (신갈동, 동오연립)",경기 용인시 기흥구 신갈동 2-1,127.107689647828,37.2792389169177
376,기흥구,신갈동,분양,원대마을 신갈한신아파트,367,2002.08.31.,"기흥구 신갈로 102 (신갈동, 원대마을한신아파트)",경기 용인시 기흥구 신갈동 17-15,127.106774058122,37.276052048159
377,기흥구,신갈동,분양,새릉골마을 풍림아파트,340,2001.03.17.,"기흥구 기흥로116번길 7 (신갈동, 새릉골풍림아파트)",경기 용인시 기흥구 신갈동 166,127.111313524212,37.2871558759002
378,기흥구,신갈동,분양,도현마을 현대아파트,568,2001.05.25.,"기흥구 구갈로 115-16 (신갈동, 도현마을아이파크아파트)",경기 용인시 기흥구 신갈동 165,127.10902679406,37.2855318102771
379,기흥구,신갈동,분양,고현마을 고려에센스빌,72,2003.07.31.,"기흥구 용구대로2152번길 7 (신갈동, 고현마을고려에센스빌)",경기 용인시 기흥구 신갈동 160,127.107109283408,37.2797982680839
