,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,nm,x,y
57888,에버온,경기용인 신봉자이1차9(B1),03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 26(873 신봉마을엘지자이1차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 873,127.077699444274,37.3254455462494
57889,에버온,경기용인 신봉자이2차1(B1),01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57890,에버온,경기용인 신봉자이2차1(B1),02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57891,에버온,경기용인 신봉자이2차1(B1),03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57892,에버온,경기용인 신봉자이2차1(B1),04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57893,에버온,경기용인 신봉자이2차1(B1),05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57894,에버온,경기용인 신봉자이2차1(B1),06,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57895,에버온,경기용인 신봉자이2차10(B1),01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57896,에버온,경기용인 신봉자이2차10(B1),02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57897,에버온,경기용인 신봉자이2차10(B1),03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57898,에버온,경기용인 신봉자이2차11(B1),01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57899,에버온,경기용인 신봉자이2차11(B1),02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57900,에버온,경기용인 신봉자이2차11(B1),03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57901,에버온,경기용인 신봉자이2차11(B1),04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57902,에버온,경기용인 신봉자이2차11(B1),05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57903,에버온,경기용인 신봉자이2차2(B1),01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57904,에버온,경기용인 신봉자이2차2(B1),02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57905,에버온,경기용인 신봉자이2차2(B1),03,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57906,에버온,경기용인 신봉자이2차2(B1),04,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57907,에버온,경기용인 신봉자이2차2(B1),05,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57908,에버온,경기용인 신봉자이2차2(B1),06,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57909,에버온,경기용인 신봉자이2차3(B1),01,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
57910,에버온,경기용인 신봉자이2차3(B1),02,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉2로 72(911 신봉마을자이2차아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,경기 용인시 수지구 신봉동 911,127.073006201223,37.3285206048701
